apartment_id,price,date,room_type,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,neighbourhood,district,latitude,longitude,host_id,host_since,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,wifi,tv,coffe_machine,dishwasher,terrace,bathtub,check_in_24h
64990,100,2020-02-22,Loft,2,1,2,$0.00,16,Rummelsburg,Lichtenberg,52.50223,13.49157,972575,2011-08-15,within an hour,90%,FALSE,1,100,10,10,10,10,9,9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
97714,34,2019-02-07,Apartment,2,1,1.5,$0.00,41,Neukölln,Neukölln,52.49223,13.42394,3544271,2012-09-12,within a day,60%,FALSE,2,100,10,10,10,10,10,9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
15186,150,2019-04-22,Apartment,4,2,1,$80.00,0,Neukölln,Neukölln,52.48118,13.44537,545015,2011-04-29,within an hour,100%,TRUE,4,100,10,10,9,10,10,10,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
58296,149,2019-02-15,Serviced apartment,3,1,1,$0.00,85,Neukölln,Neukölln,52.4803,13.43458,231768189,2018-12-21,within an hour,100%,FALSE,6,80,10,10,10,9,9,7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
87235,65,2019-01-03,Apartment,3,1,1.5,$15.00,41,Neukölln,Neukölln,52.47454,13.45406,6366832,2013-05-13,within an hour,100%,FALSE,1,96,10,9,10,10,10,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83670,250,2019-03-24,Apartment,12,2,2,$90.00,56,Kreuzberg,Friedrichshain-Kreuzberg,52.49659,13.44223,190957759,2018-05-22,within an hour,100%,TRUE,18,100,10,10,10,10,10,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
99068,60,2019-01-27,Apartment,2,1,1,$10.00,62,Friedenau,Tempelhof - Schöneberg,52.47466,13.33653,10657014,2013-12-16,within a day,80%,TRUE,2,100,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
98607,57,2019-03-05,Apartment,2,1,1,$35.00,83,Pankow,Pankow,52.55505,13.42749,232966616,2018-12-28,within a few hours,100%,TRUE,1,100,10,10,10,10,9,10,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
57081,85,2019-03-20,Apartment,4,2,1,$60.00,1,Moabit,Mitte,52.53104,13.32806,123546937,2017-03-31,within a day,50%,FALSE,1,100,9,9,9,9,9,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
57268,50,2019-01-06,Apartment,2,1,1,$20.00,35,Charlottenburg,Charlottenburg-Wilm.,52.5166,13.29977,224691394,2018-11-07,within an hour,100%,TRUE,8,92,10,10,10,10,9,9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
75567,110,2018-12-31,Apartment,4,1,1,$15.00,66,Mitte,Mitte,52.52953,13.40215,47702685,2015-10-29,within an hour,100%,FALSE,8,90,10,10,10,10,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
26416,55,2019-01-10,Apartment,2,1,1,$20.00,29,Charlottenburg,Charlottenburg-Wilm.,52.51676,13.29964,224691394,2018-11-07,within an hour,100%,TRUE,8,96,10,10,10,10,10,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
